vitamin A %,vitamin C %,calcium %,iron %,magnesium %,calories (per 100g),potassium (mg),protein (g),fiber (g),classification,name
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,class,meta
1.0,7.0,0.0,0.0,1.0,52.0,107.0,0.3,2.4,fruit,apple
38.0,16.0,1.0,2.0,2.0,48.0,259.0,1.4,2.0,fruit,apricot
2.0,16.0,1.0,3.0,7.0,160.0,485.0,2.0,7.0,fruit,avocado
1.0,14.0,0.0,1.0,6.0,89.0,358.0,1.1,2.6,fruit,banana
0.0,8.0,1.0,1.0,5.0,43.0,325.0,1.6,2.8,vegetable,beetroot
4.0,35.0,2.0,3.0,5.0,43.0,163.0,1.4,5.0,fruit,blackberry
1.0,16.0,0.0,1.0,1.0,57.0,77.0,0.7,2.4,fruit,blueberry
12.0,148.0,4.0,3.0,5.0,34.0,316.0,2.8,2.6,vegetable,broccoli
15.0,141.0,4.0,7.0,5.0,43.0,389.0,3.4,3.8,vegetable,brussels sprouts
334.0,9.0,3.0,1.0,3.0,41.0,320.0,0.9,2.8,vegetable,carrot
0.0,80.0,2.0,2.0,3.0,25.0,299.0,1.9,2.0,vegetable,cauliflower
8.0,5.0,4.0,1.0,2.0,16.0,260.0,0.7,1.6,vegetable,celery
26.0,16.0,1.0,1.0,2.0,50.0,173.0,1.0,1.6,fruit,cherry
2.0,4.0,1.0,1.0,3.0,16.0,147.0,0.7,0.5,vegetable,cucumber
0.0,3.0,0.0,1.0,3.0,25.0,229.0,1.0,3.0,vegetable,eggplant
12.0,60.0,3.0,8.0,1.0,73.0,280.0,0.7,7.0,fruit,elderberry
2.0,6.0,1.0,1.0,1.0,67.0,191.0,0.6,0.9,fruit,grape
33.0,20.0,5.0,11.0,7.0,61.0,180.0,1.5,1.8,vegetable,leek
0.0,88.0,2.0,3.0,2.0,29.0,138.0,1.1,2.8,fruit,lemon
21.0,60.0,1.0,1.0,2.0,60.0,168.0,0.8,1.6,fruit,mango
4.0,88.0,4.0,0.0,2.0,47.0,181.0,0.9,2.4,fruit,orange
1.0,79.0,1.0,1.0,3.0,50.0,109.0,0.5,1.4,fruit,pineapple
6.0,11.0,0.0,1.0,2.0,39.0,190.0,0.9,1.5,fruit,peach
0.0,7.0,0.0,1.0,1.0,57.0,116.0,0.4,3.1,fruit,pear
7.0,134.0,1.0,1.0,2.0,20.0,175.0,0.9,1.7,vegetable,pepper
6.0,15.0,0.0,1.0,1.0,46.0,157.0,0.7,1.4,fruit,plum
0.0,17.0,1.0,1.0,3.0,83.0,236.0,1.7,4.0,fruit,pomegranate
170.0,15.0,2.0,4.0,3.0,26.0,340.0,1.0,0.5,vegetable,pumpkin
187.0,46.0,9.0,15.0,19.0,23.0,558.0,2.9,2.2,vegetable,spinach
0.0,97.0,1.0,2.0,3.0,33.0,153.0,0.7,2.0,fruit,strawberry
283.0,4.0,3.0,3.0,6.0,86.0,337.0,1.6,3.0,vegetable,sweet potato
13.0,44.0,3.0,1.0,3.0,53.0,166.0,0.8,1.8,fruit,tangerine
16.0,22.0,1.0,1.0,2.0,18.0,237.0,0.9,1.2,fruit,tomato
11.0,13.0,0.0,1.0,2.0,30.0,112.0,0.6,0.4,vegetable,watermelon
4.0,29.0,1.0,2.0,4.0,17.0,261.0,1.2,1.0,vegetable,zucchini
